customer_name,company,phone_number,email_address,ship_address
American Molecular Laboratories Inc.,American Molecular Laboratories Inc.,nan,AM@AMLABORATORIES.COM,"American Molecular Laboratories Inc.
50 LAKEVIEW PKWY STE 127
Vernon Hills IL 60061-1590
United States"
American Scientific Laboratories,American Scientific Laboratories,nan,suzysullo@gmail.com,"American Scientific Laboratories
1860 Old Okeechobee Rd. St 508 &510
West Palm Beach FL 33409
United States"
Ampath Trust,Ampath Trust,9.71E+11,asawafta@najah.edu,"Ampath Trust
166 Witch Hazel Ave
Highveld Techno Park, Centurion  0167
South Africa"
Amplifi DX,Amplifi DX,(949) 280-9405,paige@amplifidx.com,"Amplifi DX
39655 Eureka Dr.
NEWARK CA 94560
United States"
An-Najah National University,An-Najah National University,+ 970 2 297 6265,asawafta@najah.edu,"An-Najah National University
P.O. Box 7
Nablus  
Palestine, State of"
"Ana KvoÄiÄ‡, Msc","Ana KvoÄiÄ‡, Msc",13369642,ana.k@gorea-plus.hr,"Ana KvoÄiÄ‡, Msc
Gorea plus d.o.o.
Obala kraljice Elizabete KotromaniÄ‡ 88
Novigrad  23312
Croatia"
Anagen Analiz Ars Oto ith ihr san ve tic ltd sti,Anagen Analiz Ars Oto ith ihr san ve tic ltd sti,9.05E+11,ozgur@anagenanaliz.com,"Anagen Analiz Ars Oto ith ihr san ve tic ltd sti
Anagen Analiz Ars Oto ith ihr san ve tic ltd sti Zuhuratbaba mah. Incirli caddesi no:117  Dukkan:2
Istanbul  34147
Türkiye"
Ananda Analytical Services,Ananda Analytical Services,nan,carlo@labananda.com,"Ananda Analytical Services
2519  W. Burbank Blvd. Suite 101
Burbank CA 91505
United States"
APG Labs,APG Labs,nan,info@apglabs.com,"APG Labs
10632 Little Patuxent Pkwy. Ste. 104A
Columbia MD 21044
United States"
Appalachian Regional Healthcare,Appalachian Regional Healthcare,nan,dnorman@arh.org,"Appalachian Regional Healthcare
200 Hospital Drive
South Williamson KY 41503
United States"
Applied Ingenuity Diagnostics,Applied Ingenuity Diagnostics,nan,mshah@applidx.com,"Applied Ingenuity Diagnostics
7040 Lake Ellenor Dr
Orlando FL 32809
United States"
Aptitude Labs,Aptitude Labs,nan,easton.anguay@aptitudelabs.com,"Aptitude Labs
125 Cremona Drive Ste #100
Goleta CA 93117
United States"
ARH Reference Lab,ARH Reference Lab,nan,MPOTTER@ARH.ORG,"ARH Reference Lab
200 Hospital Dr
South Williamson KY 41503
United States"
ATC Genomics,ATC Genomics,90 312 496 43 19,burcu.torun@atc.com.tr,"ATC Genomics
Galip Erdem Cad. 607. Sok. No:9 06550 Çankaya - Ankara / Türkiye
Ankara  
Türkiye"
Atlas Diagnostics Inc.,Atlas Diagnostics Inc.,nan,Robertridley@atlasdxlabs.com,"Atlas Diagnostics Inc.
926 S Elmora Ave
Elizabeth NJ 07202
United States"
Autonomous University of the State of Mexico,Autonomous University of the State of Mexico,011 52 722 226 23 00,rectoria@uaemex.mx,"Autonomous University of the State of Mexico
Instituto Literario 100. Col. Centro Toluca, Estado de Mexico,
Mexico"
Avantic Medical Lab,Avantic Medical Lab,nan,yogini@avanticlab.com,"Avantic Medical Lab
22 Meridian Rd., Suite 7,Edison, NJ 08820
Edison NJ 08820
United States"
"AVE-Map project at Mbarara University,","AVE-Map project at Mbarara University,",nan,jngonzi@must.ac.ug,"AVE-Map project at Mbarara University,
P.O BOX 1410
Mbarara  
Uganda"
Barbara Beery,Barbara Beery,(510) 325-3869,barbarambeery@gmail.com,"Barbara Beery
3751 Harrison St
Oakland CA 94611
United States"
Basic Health International,Basic Health International,50375771043,aalvarado@basichealth.org,"Basic Health International
Colonia San Francisco, Avenida Las Camelias #14, San Salvador, El Salvador, Central America 503 75771043
El Salvador"
Belize Family Life Association's  (BFLA),Belize Family Life Association's  (BFLA),(501) 203-1018,executivedirector@bflabz.org,"Belize Family Life Association's  (BFLA)
15631 Weldon Dr
Houston TX 77032
United States"
Benjamin Liu,Benjamin Liu,(202) 476-2161,bliu1@childrensnational.org,"Benjamin Liu
111 Michigan Ave NW, Lab Admin, suite 2200
Washington DC 20010
United States"
Beta Diagnostic,Beta Diagnostic,nan,nan,nan
Better Life Science,Better Life Science,nan,daniel@mybls.com,"Better Life Science
4400 North Point Pkwy
Ste 160
Alpharetta GA 30022
United States"
BGI Health (HK) Company Limited,BGI Health (HK) Company Limited,85239522140,chakpuiching@bgi.com,"BGI Health (HK) Company Limited
1/F, No.16, Dai Fu Street, Tai Po Industrial Estate.
Hong Kong  
Hong Kong"
Bio-Rad,Bio-Rad,nan,nan,"Bio-Rad
725 Alfred Nobel Drive
Hercules CA 94547
United States"
BioCentra Diagnostics LLC,BioCentra Diagnostics LLC,nan,TAHIR@BIOCENTRA.COM,"BioCentra Diagnostics LLC 
5600 S Willow Dr. Ste. 101 
HOUSTON TX 77035 
Dr. Wani 
(832) 831-3624 
DRWANI@BIOCENTRA.COM"
BiocientÃfica Internacional,BiocientÃfica Internacional,506-2272-3700,marcos.lopez11@upr.edu,"BiocientÃfica Internacional
Avenida 12, Calle 3 Hacienda Vieja Curridabat
San Jose  
Costa Rica"
BIOCOVID Lab,BIOCOVID Lab,(844) 811-8166,oussama@medpedhealthcare.com,"BIOCOVID Lab 
College Park Medical Center 
4701 Melbourne Place 
College Park, MD 20740 USA 
(844) 811-8166 
oussama@medpedhealthcare.com 
Attn: Dr. Oussama"
BioGene Diagnostics,BioGene Diagnostics,nan,admin@biogenediagnostics.com,"BioGene Diagnostics
10842 Noel St
#111
Los Alamitos CA 90720
United States"
BioGenetics Diagnostics,BioGenetics Diagnostics,nan,ouza68@gmail.com,"BioGenetics Diagnostics
17876 Farmington Road
Livonia MI 48152
United States"
Biotox,Biotox,nan,anwarbaker@yahoo.com,"Biotox
18161 West 13 Mile Rd, Suite D3,
Southfield MI 48076
United States"
BS Diagnostics,BS Diagnostics,+216 70 031286,med.export.tunisia@gmail.com,"BS Diagnostics
12 Rue Al Imam Alouzai
El Menzah 4, Grand Tunis  
Tunisia"
Care Caribbean Ltd.,Care Caribbean Ltd.,(786) 614-7348,karen@carecaribbean.net,"Woodlands Ltd./Lindsay 
c/o Laparkan Air 
2361 NW 66th Ave. Bldg#702 
Miami, FL33123, 
USA"
Caribbean Diagnostics Ltd,Caribbean Diagnostics Ltd,(284) 441-2574,kevin.clifford@caribbeandiagnostics.com,"Caribbean Diagnostics Ltd
Eden House Office Suites Elizabethan Square, Georgetown
P.O. Box 189
Grand Cayman KY1-1004  
Cayman Islands"
Caring Health Network,Caring Health Network,nan,sara.evans@carehealthnet.com,"Caring Health Network
108 E. Laurel Street
Philipsburg PA 16866
United States"
Central Circle Co.,Central Circle Co.,(965) 186-9869,mohammed.aziz@centralcircleco.com,"Central Circle Co.
Floor No. #69, Al Hamra Business Tower, P.O. Box 1015 Salmieh
Al Shuhada Street
Al-Sharq  
Kuwait"
Centro Comprensivo de CÃ¡ncer,Centro Comprensivo de CÃ¡ncer,(787) 772-8300,fvazquez@cccupr.org,"Centro Comprensivo de CÃ¡ncer 
Attn: Cuentas a Pagar 
PO Box 363027 
San Juan  00936-3027 
Puerto Rico 
(787) 772-8300"
"Ceres Nanosciences, Inc.","Ceres Nanosciences, Inc.",nan,sbarksdale@ceresnano.com,"Ceres Nanosciences, Inc.
9460 Innovation Drive
Manassas VA 20110
United States"
Certigen Laboratory,Certigen Laboratory,nan,nan,"Certigen Laboratory 
9309 S TOLEDO AVE STEA 
TULSA, OK 74137-2753 US 
 
Nikki Esquivel 
844-226-5714 
KJOHNSTON@CERTIGENLAB.COM"
Chemtai Mungo C/O Dana Lapple,Chemtai Mungo C/O Dana Lapple,nan,stephanie_warth@med.unc.edu,"Chemtai Mungo C/O Dana Lapple
3009 Old Clinic Building
CB#7570
Chapel Hill NC 27599-7570
United States"
Chicago Lab Services,Chicago Lab Services,nan,CHICAGOLABSERVICES@GMAIL.COM,"Chicago Lab Services
7422 N Western Ave STE 1,
Chicago IL 60645
United States"
City of Hope,City of Hope,nan,mrubaharan@coh.org,"City of Hope
ATTN Accounts Payable
1500 E. Duarte Rd.
Duarte CA 91010-3000
United States"
CL LABS INC.,CL LABS INC.,(847) 452-1483,cllabs@outlook.com,"CL LABS INC.
6288 N Cicero Ave, Unit #1
Chicago IL 60646
United States"
Clear Choice Diagnostics,Clear Choice Diagnostics,nan,RCLARK@CLEARCHOICEDX.COM,"Clear Choice Diagnostics
6699 N Federal Hwy Ste 105
Boca Raton FL 33487
United States"
Clear Diagnostics,Clear Diagnostics,nan,JENNIFER.S@CLEARDIAGNOSTICS.NET,"Clear Diagnostics
708 E TARPON AVE
Tarpon Springs FL 34689-4250
United States"
Clear Molecular,Clear Molecular,nan,pantelis@cleardiagnostics.net,"Clear Molecular
708 E Tarpon Ave.
Tarpon Springs FL 34689
United States"
Clinical Genetics Branch National Cancer Institute,Clinical Genetics Branch National Cancer Institute,nan,jzavala@dalrada.com,"Clinical Genetics Branch National Cancer Institute
9609 Medical Center Dr
Bethesda MD 20892
United States"
Clinical Research Unit of Nanoro/IRSS-DRCO,Clinical Research Unit of Nanoro/IRSS-DRCO,nan,nan,nan
Clinilab Import & Export Agency,Clinilab Import & Export Agency,202 252 57 212,Yasser.darweish@clinilab.net,"Clinilab Import & Export Agency
4, 160 St El-Etehad square Riham Tower
Maadi â€“ Cairo  
Egypt"
Coagulation Consultants,Coagulation Consultants,nan,coagulationconsultantslab@gmail.com,"Coagulation Consultants
1640 Elk Blvd
Des Plaines IL 60016
United States"
College Park Medical Center,College Park Medical Center,nan,oussama@medpedhealthcare.com,"College Park Medical Center
4701 Melbourne Place
College Park MD 20740
United States"
Concepto Diagnostics Limited,Concepto Diagnostics Limited,nan,shruti@conceptoclinic.co.uk,"Concepto Diagnostics Limited 
102, The parade, Watford High St 
Hertfordshire  WD17 1AW 
United Kingdom 
ifra@conceptoclinic.co.uk 
(284) 441-2574"
Consortium Lab Services,Consortium Lab Services,nan,mase@gigcell.com,"Consortium Lab Services
31201 Chicago Rd S, Ste B102
Warren MI 48093
United States"
Corpogenlab,Corpogenlab,(786) 715-5427,ccuadra73@gmail.com,"Corpogenlab
MSc. CÃ©sar Cuadra SÃ¡nchez CORPORACION GENERAL DE 
DIAGNOSTICOS RUC J0310000286000, KM 5 carretera a Masaya Plaza comercial, Kings Palace
Managua  
Nicaragua"
Cova Laboratories,Cova Laboratories,nan,NADIAP@COVALABORATORY.COM,"Cova Laboratories
600 D LAKE STREET
Ramsey NJ 07446
United States"
Covigen Medtox Lab Inc,Covigen Medtox Lab Inc,(347) 515-1344,nadeem27@aol.com,"Covigen Medtox Lab Inc
700 N Broad st. Suite # 103
Elizabeth NJ 07208
United States"
Criterion Chemistries,Criterion Chemistries,nan,sarah.connelly@criterionchemistries.com,"Criterion Chemistries
DGHI
490 Wildwood North Circle, Suite 110
Homewood AL 35209
United States"
Cure cervical cancer,Cure cervical cancer,nan,nan,"Rebecca Lepsik -- Executive Director
Cure cervical cancer
Kenya"
CureCervicalCancer,CureCervicalCancer,(310) 601-3002,samson@curecervicalcancer.org,"CureCervicalCancer
468 N. Camden Drive
Beverly Hills CA 90210
United States"
Deluxe Medical Corporation,Deluxe Medical Corporation,nan,julia.labonte@medicalsource.biz,"Deluxe Medical Corporation 
2701 General De Gaulle Dr 
New Orleans LA 70114 
Dr. Tillery 
504-418-4226"
DHME Diagnostics,DHME Diagnostics,(847) 278-7902,dhmediagnostics@gmail.com,"DHME Diagnostics
4827 Irving Park Rd, Chicago, IL 60641
Chicago IL 
United States"
Diagnostech,Diagnostech,27 (0)11 469 0097,nan,"Rynier Lourens
Diagnostech
Unit 12 Mulberry Hill Office Park Broadacres Dr Dainfern Valley
Johannesburg  
South Africa"
DIAGNÓSTICA JR,DIAGNÓSTICA JR,55 6382 3937 ,compras@dimojr.mx,"DIAGNÓSTICA JR 
Jorge Olmedo Nieva 
PO# 966 
Public Assistance #552, Int.1, Col. Industrial Puerto Aéreo, 
CP 15710, Mayor's Office Venustiano Carranza, Mexico City, Mexico 
compras@dimojr.mx 
Tel: 55 6382 3937 
Mexico"
Discovery life Science,Discovery life Science,(256) 327-9583,shawn.fahl@dls.com,"Discovery life Science
800 Hudson Way, Suite 1700
Huntsville AL 35806
United States"
Division of Cancer Epidemiology and Genetics (DCEG) National Cancer Institute,Division of Cancer Epidemiology and Genetics (DCEG) National Cancer Institute,(240) 604-1554,julia.gage@nih.gov,"Division of Cancer Epidemiology and Genetics (DCEG) National Cancer Institute
9609 Medical Center Dr, Rm 6E546
Bethesda MD 20892
United States"
Dr Balwant Singh Hospital Inc,Dr Balwant Singh Hospital Inc,nan,jewan@balwantsingh.com,"314 East Street South Cummingsburg
Georgetown  
Guyana"
Dr Balwant Singh's Hospital Inc.,Dr Balwant Singh's Hospital Inc.,nan,bshshazad@gmail.com,"Dr Balwant Singh's Hospital Inc.
314 East Street South Cummingsburg
Georgetown  
Guyana"
Dr.  Melissa Miskell,Dr.  Melissa Miskell,(830) 708-6009,melissamiskell@gmail.com,"Dr.Melissa Miskell
2269 Waterford Grace
New Braunfels TX 78130
United States"
Dr. Ajenifuja Olusegun,Dr. Ajenifuja Olusegun,nan,nan,"Dr.Ajenifuja Olusegun
Department of Obstetrics and Gynaecology Obafemi Awolowo University Teaching Hospital
PMB 5538, Ilesa Road
Ile Ife, Osun state  
Nigeria"
"Duke Global Health Institute, Duke University","Duke Global Health Institute, Duke University",(919) 641-6059,christina.makarushka@duke.edu,"Duke Global Health Institute, Duke University 
310 Trent Dr. 
Durham NC 27710 "
Dupage County Diagnostics LLC,Dupage County Diagnostics LLC,(630) 234-9407,fisaila1@gmail.com,"1315 Butterfield Road, Suite 200
Downers Grove IL 60515
United States"
Eagle Labs 2 LLC,Eagle Labs 2 LLC,nan,joryscott@briomd.com,"Eagle Labs 2 LLC
4 WILLOW POINTE  STE 3
Hattiesburg MS 39402-1150
United States"
EHA Clinics Limited,EHA Clinics Limited,2.35E+12,uwaye.ehikpehae@eha.ng,"EHA Clinics Limited
4-6 Independence Road, Kano Plot 944 Asba & Dantata Street,
off Life Camp roundabout (Jabi),
Abuja  
Nigeria"
Elite Medical Lab,Elite Medical Lab,nan,nadiap@covalaboratory.com,"Elite Medical Lab
900 D Lake St
Ramsey NJ 07446
United States"
Embry Health,Embry Health,nan,jamesbradley.myers@embryhealth.com,"Embry Health
2005 W 14th Street Ste 118
Tempe AZ 85281
United States"
Empower,Empower,(972) 273-0265,Driley@dalrada.com,"600 La Terraza Blvd
Escondido CA 92025
United States"
Encompass Laboratory,Encompass Laboratory,(281) 720-6052,Colleen@EncompassLaboratory.com,"Encompass Laboratory
2323 S. Voss Road
Suite 455
Houston TX 77057
United States"
Enox Pharma AB,Enox Pharma AB,+44 (0) 3301 333 077,tom.crowley@enoxpharma.com,"Enox Pharma AB
Turebergs,
Sollentuna  
Sweden"
ENT USA,ENT USA,nan,mamoudou.maiga@northwestern.edu,"ENT USA
International Medical Suppliers Hamdallaye ACI
Bamako  
Mali"
Exova Dx,Exova Dx,nan,HWARRING@EXOVADX.COM,"Exova Dx
5130 Gateway Blvd E
3rd floor
El Paso TX 79905
United States"
Fisher Scientific,Fisher Scientific,nan,nan,nan
Desiree Bock ,FPCA Molecular Lab,(301) 634-7987,dbock@divineconceptsmgmt.com,"
610 SOLAREX CT 
FREDERICK, MD 21703-8624 US 
Desiree Bock "
Fred Hutch Cancer Center Cancer,Fred Hutch Cancer Center Cancer,nan,amondrag@fredhutch.org,"Fred Hutch Cancer Center Cancer
Robert Arnold Building 
1100 Fairview Ave N, Rm M4 C835
Seattle WA 98109
United States"
Fujirebio Europe,Fujirebio Europe,+32 9 329 14 18 / + 32 9 329 15,orderconfirmations@fujirebio.com,nan
Fujirebio Europe N.V.,Fujirebio Europe N.V.,+32 9 329 14 18  ,orderconfirmations@fujirebio.com,"Fujirebio Europe N.V. 
Technologiepark 6 
BE-9052  Zwijnaarde   
Belgium 
Caroline Wesemael "
GenePath Diagnostics India Private Limited,GenePath Diagnostics India Private Limited,nan,vinayak.pai@genepathdx.com,"GenePath Diagnostics India Private Limited
7th Floor Manikchand Galleria
Swastik Society, Model Colony
Pune  411016
India"
Genesis Diagnostic Services,Genesis Diagnostic Services,nan,SYEDNAVEEDMD@GMAIL.COM,"Genesis Diagnostic Services
12000 Ford Rd Ste 180
Farmers Branch TX 75234
United States"
 Dr Erin Akdeniz ,Genoks Technology,+90 312 229 78 59,info@genoks.com.tr,"Genoks Technology 
Genoks Health Services Inc. Emniyet Mahallesi, Silahtar Caddesi, No:67 06560 
Ankara
+90 312 229 78 59 
erenakdeniz@genoks.com.tr"
Genolab Diagnostics LLC,Genolab Diagnostics LLC,nan,melabbasi@genolabdiagnostics.com,"Genolab Diagnostics LLC
200 Fairfield Rd, Ste 22
Fairfield NJ 07004
United States"
Genomic FZE,Genomic FZE,nan,genomic@rakfzbc.ae,"Genomic FZE
FDRK4430 Compass Building,
Al Shohada Road, AL Hamra Industrial Zone-FZ,
Ras Al Khaimah, United Arab Emirates  
United Arab Emirates"
Genophyll Labs,Genophyll Labs,nan,jay.sewkarran@rover-labs.com,"Genophyll Labs 
1 Deer Park Dr. 
Monmouth Junction NJ 08852 
Mona Badr 
856.832.6613 
Mona.badr@rover-labs.com"
GH Labs,GH Labs,(310) 591-0733,nan,"GH Labs
14360 SE Eastgate Way,Bellevue, WA, 98007
Bellevue WA 98007
United States"
Global Health Labs,Global Health Labs,nan,AP-Inbox@ghlabs.org,"Global Health Labs
14360 SE Eastgate Way
Bellevue WA 98007
United States"
Grounds for Health,Grounds for Health,nan,patti@groundsforhealth.org,"Grounds for Health
600 Blair Park Road, Ste 311
Williston VT 05495
United States"
Guyana Cancer Prevention Society,Guyana Cancer Prevention Society,nan,nan,"Guyana Cancer Prevention Society
685 Block C Grove  East Bank Demerara
Guyana"
Gynecologic Oncology Massachusetts General Hospital,Gynecologic Oncology Massachusetts General Hospital,(267) 441-9103,nicholasmensah10@gmail.com,"Gynecologic Oncology Massachusetts General Hospital
Dr Thomas Konney Komfo Anokye Dept Obstetrics and Gynaecology  Bantama Street P. O. Box 1934 Kumasi, Ghana
Ghana"
Helimedical Corp,Helimedical Corp,(786) 309-3956,erika@helimedicalsupply.com,"Helimedical Corp
9600 NW 25th st 
Suite 2A
Doral FL 33178
United States"
Helimedical Supply,Helimedical Supply,(786) 309-3956,erika@helimedicalsupply.com,"Helimedical Supply
9600 NW 25th St Suite 2A
Miami FL 33172
United States"
"Hem Thapa, Ph.D","Hem Thapa, Ph.D",(404) 639-2187,sqp1@cdc.gov,"Associate Service Fellow, HPV DNA Team
1600 Clifton Rd NE    Mail Stop H23-4
Atlanta GA 30329
United States"
"Hiros TecnologÃas, S.A. de C.V.,","Hiros TecnologÃas, S.A. de C.V.,",nan,raymundo.mendez@hirostecnologias.com,"HIROSTECNOLOGIAS S.A DE C.V 
Calle 15 NA 74 Col. Valentn Gómez Faras, Del.
Venustiano Carranza, C. P. 15010, CDMX 
RFC. HIR1208249H8 
Mexico 
At'n: Yhunen Hernandez"
HLR ltd.,HLR ltd.,+38044494 42 42,rodriguez@hlr.ua,"HLR ltd.
CHEMCA LTD 78 York Street, Marylebone, London, United Kingdom, W1H 1DP
London  
United Kingdom"
Hydrox SIA,Hydrox SIA,371 67551517,jana@hydrox.lv,"Hydrox SIA 
1 Lizuma street, Riga, LV-1006, Latvia 
Jekabpils novads, ViesÄa�te, 24 Birzu iela, LV-5237,Latvia 
Aleksandrs �epteli�s 
371-22064140 
jana@hydrox.lv"
"ILAB, LLC","ILAB, LLC",nan,Hebatalla.Ibrahim@yahoo.com,"ILAB, LLC
1135 Clifton Ave
Clifton NJ 07013
United States"
Infinity Diagnostic,Infinity Diagnostic,nan,josephloevy@gmail.com,"Infinity Diagnostic
370 North St.
Teterboro NJ 07608
United States"
Integrative Diagnostics,Integrative Diagnostics,nan,integrativediagnosticsllc@gmail.com,"Integrative Diagnostics
21237 South La Grange Rd., Unit 5
Frankfort IL 60423
United States"
IPO LISBOA,IPO LISBOA,(+351) 217229832,mmiranda@ipolisboa.min-saude.pt,"IPO LISBOA
Instituto PortuguÃ�s Oncologia de Lisboa Francisco Gentil EPE
Rua Professor Lima Basto
Lisbon  1099-023
Portugal"
"Isla Lab Products, LLC","Isla Lab Products, LLC",(979) 985-9452,vmarrero@islalab.com,"Isla Lab Products, LLC
PO BOX 361810
San Juan  
Puerto Rico"
Jeva Diagnostic Relief,Jeva Diagnostic Relief,nan,diagnosticrelief@gmail.com,"Jeva Diagnostic Relief
6857 Foothill Blvd Tujunga
Tujunga CA 91042
United States"
JFK CLINIC,JFK CLINIC,nan,chairmantxihp@gmail.com,"JFK CLINIC
9494 Southwest Freeway Suite 700
Houston TX 77074-1432
United States"
key Advanced Genomics LLC,key Advanced Genomics LLC,nan,nan,"Advanced Genomics LLC
10750 Hammerly Blvd #259
Houston TX 77043-2318
United States"
KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,233 20 8168767,dean.smd@knust.edu.gh,"KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY
OFFICE OF THE DEAN
SCHOOL OF MEDICINE AND DENTISTRY,
Kumasi  
Ghana"
Lab Care LLC,Lab Care LLC,nan,Hamdan@labcareusa.com,"Lab Care LLC
13601 Preston Rd.
Ste 360 E
Dallas TX 75240
United States"
Lab Quest,Lab Quest,nan,rayakayllc@gmail.com,"Lab Quest
2183 Fairview Road # 100
Costa Mesa CA 92627
United States"
LAB QUEST DIAGNOSTICS,LAB QUEST DIAGNOSTICS,nan,ANJALILOHANO13@GMAIL.COM,"LAB QUEST DIAGNOSTICS
3425 W PETERSON AVE
Chicago IL 60659
United States"
Lab Site Clinical,Lab Site Clinical,nan,nan,nan
Laboratorio Vidatec in Panama,Laboratorio Vidatec in Panama,(305) 599-2703,mrivas@vidateclab.com,"Laboratorio Vidatec in Panama
7270 NW 35th Terrace
SUITE 101
Miami FL 33122
United States"
Laboratory Hope Diagnostics,Laboratory Hope Diagnostics,nan,pathdiagnostics6@gmail.com,"Laboratory Hope Diagnostics 
9243 S Roberts Road 
Hickory Hills IL 60457 
Moses Adeyanju 
(708) 529-7537 
PATHDIAGNOSTICS6@GMAIL.COM"
Laboratory Management Consultants,Laboratory Management Consultants,nan,lpigman@emaillmc.com,"Laboratory Management Consultants
109 Parkway St.
Hazard KY 41701
United States"
LaboShop Medical and Laboratories Equipment LLC,LaboShop Medical and Laboratories Equipment LLC,800 800 DNA (362),ceo@laboshop.ae,"MASTER LOGISICS FZCO 
Dubai airport freezone 
Block B , B21 
IMPORT CODE  : AE-1167948 
email : operation@masterlogisticsfzco.com"
LAGEM,LAGEM,nan,nan,"LAGEM 
836 S Kingsley Dr. Apt 4 
Los Angeles, CA 90005 
anet.rivera.phd@gmail.com"
