name,amount_per_rxn,material_id,component_id
Vazyme Bst,0.75,23,16
China UDG,0.3,19,16
10Xiso buffer,0.145,1,16
5% Gelatin,0.2,15,16
H2O,1.605,6,16
H2O,5,6,17
NaCl,0.1386,111,18
H2O,700,6,18
H2O,0.9,6,19
10X Mg free iso buffer,0.15,1,19
5%Gelatin,0.2,15,19
2% NaN3,0.1,14,19
SZ UNG,0.25,19,19
Vazyme WS-Bst (8U/uL)*,1.4,23,19
Vazyme RI*,1,7,19
NEB RTx,1,18,19
H2O,3.1,6,20
H2O,4,6,21
H2O,3.25,6,22
H2O,4.25,6,23
COVFLURSV template,0.0001,110,24
H2O,0.9999,6,24
